# FractureId; NumTraces
0; 6
# TraceId; Tips; Length
82; 1; 0.895602
403; 1; 0.863714
300; 1; 0.712824
238; 1; 0.69426
410; 1; 0.663529
269; 1; 0.63465
27; 1; 0.628665
451; 1; 0.622796
448; 1; 0.61982
440; 1; 0.597626
292; 1; 0.578455
275; 1; 0.571413
452; 1; 0.55677
221; 1; 0.532041
447; 1; 0.434438
450; 1; 0.417061
392; 1; 0.40899
449; 1; 0.311016
419; 1; 0.300029
361; 1; 0.234117
320; 1; 0.209816
384; 1; 0.199032
436; 1; 0.159621
428; 1; 0.0623933
351; 1; 0.0182695

# FractureId; NumTraces
41; 20
# TraceId; Tips; Length
239; 0; 0.936568
352; 0; 0.882128
443; 0; 0.732536
193; 0; 0.612347
336; 1; 0.850158
404; 1; 0.787097
455; 1; 0.761553
385; 1; 0.668324
123; 1; 0.529897
252; 1; 0.518764
453; 1; 0.432563
205; 1; 0.334897
321; 1; 0.320001
57; 1; 0.288737
147; 1; 0.215436
135; 1; 0.162369
362; 1; 0.146231
454; 1; 0.112595
456; 1; 0.0252106
393; 1; 0.00653337

# FractureId; NumTraces
42; 22
# TraceId; Tips; Length
447; 0; 0.434438
405; 0; 0.284133
28; 1; 0.933607
458; 1; 0.816441
429; 1; 0.782067
459; 1; 0.677343
83; 1; 0.626875
276; 1; 0.578133
58; 1; 0.575532
148; 1; 0.536054
457; 1; 0.51445
98; 1; 0.458283
460; 1; 0.44927
301; 1; 0.378385
411; 1; 0.358686
386; 1; 0.331518
171; 1; 0.331293
322; 1; 0.323228
368; 1; 0.301096
337; 1; 0.1453
374; 1; 0.120463
253; 1; 0.0416466

# FractureId; NumTraces
43; 19
# TraceId; Tips; Length
369; 0; 0.146775
29; 1; 0.802669
448; 1; 0.61982
412; 1; 0.564173
99; 1; 0.541931
461; 1; 0.534053
84; 1; 0.527896
462; 1; 0.520468
457; 1; 0.51445
277; 1; 0.397287
464; 1; 0.305584
59; 1; 0.298168
302; 1; 0.27274
323; 1; 0.185607
430; 1; 0.17932
463; 1; 0.132831
149; 1; 0.128594
425; 1; 0.0965235
172; 1; 0.0610365

# FractureId; NumTraces
44; 28
# TraceId; Tips; Length
406; 0; 0.827438
240; 0; 0.633866
353; 0; 0.596721
124; 0; 0.447914
467; 0; 0.431079
449; 0; 0.311016
466; 0; 0.0577192
194; 0; 0.0181885
458; 1; 0.816441
468; 1; 0.775006
85; 1; 0.701608
30; 1; 0.674163
60; 1; 0.631298
293; 1; 0.573497
173; 1; 0.569385
461; 1; 0.534053
431; 1; 0.530016
387; 1; 0.467701
100; 1; 0.457939
324; 1; 0.450271
453; 1; 0.432563
444; 1; 0.387914
338; 1; 0.360927
278; 1; 0.310817
254; 1; 0.219575
465; 1; 0.209525
150; 1; 0.179657
413; 1; 0.112257

# FractureId; NumTraces
45; 18
# TraceId; Tips; Length
459; 0; 0.677343
432; 0; 0.643036
101; 0; 0.238862
465; 0; 0.209525
31; 1; 0.924523
61; 1; 0.623364
370; 1; 0.58669
151; 1; 0.576814
426; 1; 0.548211
462; 1; 0.520468
470; 1; 0.485663
375; 1; 0.380097
414; 1; 0.293551
174; 1; 0.221434
454; 1; 0.112595
339; 1; 0.0950447
469; 1; 0.0793972
279; 1; 0.00153342

# FractureId; NumTraces
46; 20
# TraceId; Tips; Length
394; 0; 0.672552
472; 0; 0.646332
450; 0; 0.417061
407; 0; 0.0922869
241; 1; 0.807284
294; 1; 0.603987
471; 1; 0.548137
175; 1; 0.424222
303; 1; 0.411376
36; 1; 0.379548
437; 1; 0.320295
363; 1; 0.253722
325; 1; 0.200347
105; 1; 0.195967
32; 1; 0.137939
463; 1; 0.132831
280; 1; 0.125234
354; 1; 0.124213
388; 1; 0.0992971
466; 1; 0.0577192

# FractureId; NumTraces
47; 29
# TraceId; Tips; Length
242; 0; 1.33836
451; 0; 0.622796
408; 1; 1.33761
438; 1; 1.01473
176; 1; 0.998497
441; 1; 0.888742
125; 1; 0.797411
455; 1; 0.761553
355; 1; 0.746737
473; 1; 0.746224
389; 1; 0.676169
62; 1; 0.659448
326; 1; 0.608965
86; 1; 0.581023
295; 1; 0.572264
471; 1; 0.548137
195; 1; 0.547577
270; 1; 0.492848
445; 1; 0.440506
467; 1; 0.431079
340; 1; 0.398503
255; 1; 0.392929
206; 1; 0.366875
152; 1; 0.349261
424; 1; 0.327838
33; 1; 0.290934
395; 1; 0.264487
364; 1; 0.218688
420; 1; 0.204847

# FractureId; NumTraces
48; 28
# TraceId; Tips; Length
468; 0; 0.775006
460; 0; 0.44927
256; 0; 0.380934
281; 0; 0.300271
469; 0; 0.0793972
296; 1; 0.950346
365; 1; 0.915947
396; 1; 0.872018
243; 1; 0.759416
473; 1; 0.746224
327; 1; 0.70978
177; 1; 0.694345
356; 1; 0.685538
472; 1; 0.646332
433; 1; 0.577056
222; 1; 0.573028
452; 1; 0.55677
446; 1; 0.548221
304; 1; 0.518498
63; 1; 0.487866
153; 1; 0.377555
390; 1; 0.373316
464; 1; 0.305584
271; 1; 0.171522
102; 1; 0.1222
126; 1; 0.107163
341; 1; 0.0551278
456; 1; 0.0252106

# FractureId; NumTraces
49; 8
# TraceId; Tips; Length
371; 0; 0.50999
34; 0; 0.332684
427; 0; 0.131286
470; 1; 0.485663
103; 1; 0.223909
127; 1; 0.188573
376; 1; 0.0779102
64; 1; 0.0255813

